date,symbol,rsi,atr,volume_spike,signal
2020-02-24,AAPL,53.6863,2.01344,0,HOLD
2020-02-25,AAPL,58.6796,2.04607,0,HOLD
2020-02-25,MSFT,52.0712,5.65749,0,HOLD
2020-02-26,MSFT,62.1337,5.62287,0,SELL
2020-02-27,MSFT,64.2307,5.90617,1,HOLD
2020-02-28,MSFT,71.5979,6.6454,1,HOLD
2020-03-02,MSFT,60.9033,7.33692,0,HOLD
2020-03-03,MSFT,59.8463,7.61644,0,HOLD
2020-03-04,MSFT,59.9688,7.99452,0,HOLD
2020-03-05,MSFT,59.9431,8.06871,0,HOLD
2020-03-06,MSFT,61.6557,8.40256,0,HOLD
2020-03-09,MSFT,67.8267,9.02536,0,HOLD
2020-02-26,AAPL,71.396,2.15883,0,HOLD
2020-02-27,AAPL,72.8344,2.3484,1,HOLD
2020-02-28,AAPL,78.9609,2.75902,1,HOLD
2020-03-02,AAPL,62.3414,3.04708,1,HOLD
2020-03-03,AAPL,57.0569,3.32667,0,HOLD
2020-03-04,AAPL,58.5538,3.55121,0,HOLD
2020-03-05,AAPL,59.9197,3.62922,0,HOLD
2020-03-06,AAPL,63.57,3.88258,0,HOLD
2020-03-09,AAPL,65.5125,4.16649,0,HOLD
2020-03-10,AAPL,62.2387,4.33391,0,HOLD
2020-03-11,AAPL,63.0963,4.54964,0,HOLD
2020-03-12,AAPL,66.4808,4.8748,0,HOLD
2020-03-13,AAPL,59.1055,4.85427,0,HOLD
2020-03-16,GOOG,71.1619,3.98571,0,HOLD
2020-03-17,GOOG,69.8768,4.06401,0,HOLD
2020-03-18,GOOG,69.9761,4.13919,0,HOLD
2020-03-19,GOOG,62.8667,4.05063,0,HOLD
2020-03-20,GOOG,65.7508,4.11178,0,HOLD
2020-03-23,GOOG,73.7456,4.14746,0,HOLD
2020-03-16,AAPL,64.9746,5.25157,0,HOLD
2020-03-17,AAPL,60.3699,5.29782,0,HOLD
2020-03-18,AAPL,60.8506,5.33976,0,HOLD
2020-03-19,AAPL,52.8325,5.06603,0,HOLD
2020-03-20,AAPL,61.7454,4.79541,0,HOLD
2020-03-23,AAPL,75.6881,4.75882,0,HOLD
