Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2015-01-02,25.973848342895508,26.29356728683362,25.938709587323952,26.181714310408097,28951268
2015-01-05,25.432405471801758,25.950091061729747,25.392318025497744,25.89713398331359,41196796
2015-01-06,24.84295654296875,25.54648508105989,24.79792040265087,25.48833130585771,57998800
2015-01-07,24.800392150878906,25.104469838041965,24.728628529366702,25.092393436806667,41301082
2015-01-08,24.878589630126953,24.91818296214316,24.30052395365088,24.64647244330592,67071641
2015-01-09,24.556400299072266,24.989452640327688,24.48810113311393,24.981535487791785,41427428
2015-01-12,24.37723731994629,24.546797276655266,24.130272149705686,24.495523209022753,46535413
2015-01-13,24.55689239501953,24.893435717258516,24.369317233372897,24.688540129355534,47409807
2015-01-14,24.78900909423828,24.905808853478533,24.399506811021105,24.4811697132285,44714427
2015-01-15,24.834543228149414,25.02706709466939,24.635090433447488,25.02162239591221,54316718
2015-01-16,25.145845413208008,25.151290111600403,24.74594973326353,24.746445738471735,45965854
2015-01-20,25.087446212768555,25.364599542689763,25.04369552317936,25.290363463466,44640224
2015-01-21,25.63878631591797,25.70015654979528,25.052801581926232,25.104768541235615,45374234
2015-01-22,26.447975158691406,26.543990024748396,25.72094136191063,25.809035290223225,53538588
2015-01-23,26.72315216064453,26.83302488981985,26.37918389838782,26.507369064617308,45634948
2015-01-26,26.488561630249023,26.676136802874257,26.214378641824,26.652875671617547,30874534
2015-01-27,25.667985916137695,26.265354151354362,25.646209015409116,26.229223389778692,38080263
2015-01-28,25.24087142944336,25.88377183057916,25.24087142944336,25.873378438482636,33676205
2015-01-29,25.273536682128906,25.294817579118426,24.805343696310814,25.290364890770473,83727244
2015-01-30,26.454410552978516,26.719192135193865,25.51406421619047,25.530892422966474,112127002
2015-02-02,26.155479431152344,26.37918155248343,25.664023492023794,26.31632709486255,56996054
2015-02-03,26.19309425354004,26.398979958201462,25.89713248819256,26.131724021104986,40773638
2015-02-04,25.872386932373047,26.362951226696786,25.798644967489174,26.193094054451183,33273101
2015-02-05,26.110937118530273,26.156471153875355,25.83922660153243,25.923363851359532,36995292
2015-02-06,26.28019905090332,26.587048309286068,26.05303056567567,26.11390668393877,35270570
2015-02-09,26.123310089111328,26.329691792860846,26.033730036292727,26.13172324593803,25355423
2015-02-10,26.574180603027344,26.611795592304738,26.078271960105003,26.196061834675948,34997823
2015-02-11,26.526174545288086,26.64891500803467,26.39789094044134,26.493014136467572,27555446
2015-02-12,26.870637893676758,26.964178420056157,26.461984493884586,26.58952598876781,32404724
2015-02-13,27.171550750732422,27.216092777551133,26.880537667574256,26.89142706481419,38006060
2015-02-17,26.866186141967773,27.220547807186694,26.77957454044964,27.06365870027936,32336537
2015-02-18,26.710779190063477,26.997337674374798,26.602390695274185,26.794916438311088,29061570
2015-02-19,26.8676700592041,26.879547680660078,26.62713970554673,26.62862393494129,19782163
2015-02-20,26.673662185668945,26.91122408248286,26.517761303470866,26.880538018128902,28887092
2015-02-23,26.325237274169922,26.549386187455156,26.201506695406554,26.530132855967732,29157834
2015-02-24,26.532115936279297,26.566760577774996,26.144099737827094,26.230709448416533,20101036
2015-02-25,26.917160034179688,27.033465676930266,26.50019005896849,26.52270907289407,36519991
2015-02-26,27.49176025390625,27.52442655054161,26.79986518405902,26.8844965445219,46230579
2015-02-27,27.636280059814453,27.948574048190906,27.3640735181152,27.43039434134995,48203982
2015-03-02,28.276704788208008,28.31679223298629,27.65360107040189,27.7416968982797,42592618
2015-03-03,28.39053726196289,28.477146970896623,28.03815393594288,28.23265803670051,34095352
2015-03-04,28.377172470092773,28.562271395948056,28.111896761190057,28.302934497661848,37536775
2015-03-05,28.47417640686035,28.601865563263097,28.379151654214173,28.458832429090155,27792094
2015-03-06,28.09581184387207,28.540991694475707,28.05003169585228,28.451905745200744,33182854
2015-03-09,28.15346908569336,28.223746585844097,27.890419732454195,28.054977976772992,21242161
2015-03-10,27.468502044677734,27.955501549721944,27.45464418896573,27.925807496874565,35846146
2015-03-11,27.278947830200195,27.623412110232028,27.25420246956148,27.4749361601002,36415706
2015-03-12,27.493247985839844,27.535809778013064,27.24331246566813,27.39426465233852,27792094
2015-03-13,27.087905883789062,27.63627556096838,26.93448126396594,27.393765006259432,34071287
2015-03-16,27.443756103515625,27.55956764802932,27.0225794998255,27.267564439985357,32819860
2015-03-17,27.262121200561523,27.408616914344403,27.121564297537436,27.30517899842508,36110871
2015-03-18,27.690719604492188,27.704577460028787,27.072070478014496,27.344275109226857,42690887
2015-03-19,27.615989685058594,27.75506047023238,27.524675497036917,27.685277075020142,23945563
2015-03-20,27.73328399658203,27.800594939180407,27.668451187125584,27.797130474971294,52337299
2015-03-23,27.656574249267578,27.832271822939248,27.509088397156297,27.73675293880762,32876014
2015-03-24,28.21978759765625,28.43755282343975,27.775351769814907,27.84216480966913,51665459
2015-03-25,27.655330657958984,28.32223422332447,27.65310431413129,28.235128521065903,43045859
2015-03-26,27.476421356201172,27.661024277162113,27.252715428067216,27.596189579188046,31452115
2015-03-27,27.138389587402344,27.481863733168478,27.127996195679607,27.369022546714252,37949906
2015-03-30,27.321016311645508,27.392283931872456,27.12997668288414,27.30072364007657,25750504
2015-03-31,27.121562957763672,27.453653590665485,27.058212490883076,27.2205462874368,31760961
2015-04-01,26.852327346801758,27.276966502561876,26.7008810507498,27.151257576596628,39261497
2015-04-02,26.504396438598633,26.767693783220682,26.42110164521731,26.767693783220682,34327989
2015-04-06,26.565519332885742,26.64693423082376,26.20942546839209,26.340579085398254,26488525
